Community Area,n_listings,median_listing_price,mean_listing_price,median_income
ALBANY PARK,11,350000.0,553863.6363636364,87876.01911723362
ARCHER HEIGHTS,1,349000.0,349000.0,84372.8813559322
ASHBURN,5,241000.0,254174.6,90704.05788301965
AUBURN GRESHAM,4,149000.0,164450.0,67776.88980819857
AUSTIN,14,239450.0,262907.0714285714,65928.64948547492
AVALON PARK,4,294450.0,280950.0,79625.9842519685
AVONDALE,10,432000.0,434520.0,97008.10706472784
BELMONT CRAGIN,3,329900.0,346600.0,79959.16432154656
BEVERLY,43,375000.0,464216.25581395347,122783.67068898404
BRIDGEPORT,17,559999.0,538376.4117647059,87292.25262081309
BRIGHTON PARK,4,294000.0,280725.0,69208.21861935352
CALUMET HEIGHTS,9,269900.0,250733.22222222222,92709.41054808686
CHATHAM,21,199999.0,223497.19047619047,70887.45415647922
CLEARING,10,334900.0,357359.9,94006.38870208472
DOUGLAS,8,517000.0,620112.5,73307.37982396751
DUNNING,4,344950.0,403725.0,100942.01263537904
EAST GARFIELD PARK,6,349000.0,380483.3333333333,54934.44576877235
EAST SIDE,6,306500.0,811316.6666666666,75690.48467569494
EDGEWATER,28,262000.0,385292.78571428574,102533.38454266133
EDISON PARK,19,489000.0,553404.5789473684,122468.51599727706
ENGLEWOOD,2,55000.0,55000.0,51031.35313531353
FOREST GLEN,2,619950.0,619950.0,123465.49752192148
FULLER PARK,11,25000.0,76945.45454545454,46540.6976744186
GAGE PARK,4,242400.0,237650.0,71571.93427731766
GARFIELD RIDGE,25,375000.0,407961.36,101449.53973955994
GREATER GRAND CROSSING,3,79400.0,107466.66666666667,58378.39867808322
HEGEWISCH,6,227450.0,233149.83333333334,87979.86891385767
HERMOSA,2,597500.0,597500.0,79531.07019562715
HUMBOLDT PARK,10,589450.0,625369.9,68002.46738039478
HYDE PARK,46,320000.0,443810.8695652174,113619.35220468156
IRVING PARK,21,549987.0,687394.619047619,99306.32630410657
JEFFERSON PARK,15,399900.0,436433.3333333333,103708.60927152318
KENWOOD,14,357000.0,529885.7142857143,96696.80111265648
LAKE VIEW,7,439000.0,1025200.0,127498.99030694668
LINCOLN PARK,96,612500.0,1673799.7916666667,134222.56097560975
LINCOLN SQUARE,20,444950.0,548009.95,106661.4042598737
LOGAN SQUARE,30,634450.0,950816.6,106896.02169981918
LOOP,93,449500.0,677291.3548387097,126385.86166811972
MCKINLEY PARK,4,277500.0,303750.0,85883.08457711442
MONTCLARE,1,379900.0,379900.0,93449.40662086196
MORGAN PARK,7,325000.0,270428.5714285714,90663.457721318
MOUNT GREENWOOD,11,319500.0,327090.9090909091,122004.41276306855
NEW CITY,4,257450.0,336450.0,64743.877780274095
NORTH CENTER,7,650000.0,769142.8571428572,131004.30332635496
NORTH LAWNDALE,2,314448.0,314448.0,59615.53145998778
NORTH PARK,3,560000.0,511333.3333333333,90993.84293680298
NORWOOD PARK,26,409450.0,386857.6923076923,108692.8335690712
OAKLAND,2,454000.0,454000.0,59483.17307692308
OHARE,2,347400.0,347400.0,88168.8570758038
PORTAGE PARK,17,439000.0,446905.29411764705,98938.87945670629
PULLMAN,12,225000.0,212866.66666666666,72013.67781155015
ROGERS PARK,26,304950.0,326561.53846153844,86660.09423332992
ROSELAND,3,95000.0,168266.66666666666,68879.35089369709
SOUTH CHICAGO,5,228900.0,217880.0,66897.38129042435
SOUTH SHORE,31,199900.0,217180.64516129033,66446.460787435
UPTOWN,8,452500.0,421587.375,97222.37388076
WASHINGTON HEIGHTS,5,259900.0,238160.0,84310.21044427124
WASHINGTON PARK,9,335000.0,415866.6666666667,47860.691939639306
WEST ELSDON,3,319900.0,316600.0,85200.75282308657
WEST ENGLEWOOD,7,99900.0,120442.85714285714,55826.53423199716
WEST GARFIELD PARK,2,134950.0,134950.0,53732.63888888889
WEST LAWN,6,344949.5,315066.5,85187.17728055078
WEST PULLMAN,3,145000.0,141633.33333333334,71064.53815946731
WEST RIDGE,9,350000.0,430399.8888888889,85934.37985356113
WEST TOWN,17,850000.0,1106582.3529411764,119761.35744964008
WOODLAWN,16,215000.0,354712.5,67377.38715277778
